127.0.0.1 - - [08/Sep/2011:11:34:42 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/slider.js HTTP/1.1" 200 10194
127.0.0.1 - - [08/Sep/2011:11:34:42 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/sound.js HTTP/1.1" 200 1906
127.0.0.1 - - [08/Sep/2011:11:34:42 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/global.js HTTP/1.1" 200 12275
127.0.0.1 - - [08/Sep/2011:11:34:44 +0200] "GET /Quizz2-0.1-SNAPSHOT/passwordHint?username=admin HTTP/1.1" 302 -
127.0.0.1 - - [08/Sep/2011:11:34:44 +0200] "GET /Quizz2-0.1-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [08/Sep/2011:11:34:44 +0200] "GET /Quizz2-0.1-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [08/Sep/2011:11:34:44 +0200] "GET /Quizz2-0.1-SNAPSHOT/login HTTP/1.1" 200 6158
127.0.0.1 - - [08/Sep/2011:11:34:44 +0200] "GET /Quizz2-0.1-SNAPSHOT/styles/simplicity/theme.css HTTP/1.1" 200 201
127.0.0.1 - - [08/Sep/2011:11:34:45 +0200] "GET /Quizz2-0.1-SNAPSHOT/styles/simplicity/print.css HTTP/1.1" 200 115
127.0.0.1 - - [08/Sep/2011:11:34:45 +0200] "GET /Quizz2-0.1-SNAPSHOT/styles/simplicity/layout-1col.css HTTP/1.1" 200 830
127.0.0.1 - - [08/Sep/2011:11:34:47 +0200] "GET /Quizz2-0.1-SNAPSHOT/signup HTTP/1.1" 200 14553
127.0.0.1 - - [08/Sep/2011:11:34:47 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/prototype.js HTTP/1.1" 200 139854
127.0.0.1 - - [08/Sep/2011:11:34:47 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/scriptaculous.js HTTP/1.1" 200 2644
127.0.0.1 - - [08/Sep/2011:11:34:47 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/global.js HTTP/1.1" 200 12275
127.0.0.1 - - [08/Sep/2011:11:34:47 +0200] "GET /Quizz2-0.1-SNAPSHOT/scripts/validator.jsp HTTP/1.1" 200 32616
